original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX18000094,MPXX18000094,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,CPA Exam Review,7/18/2017,6/30/2018,272,20000.00,2793.00,Becker Professional Development Corporation,102,EXEMPT,For Profit
MPXX18000069,MPXX18000069,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Miscellaneous Order,Tech Consult Srvcs.,7/1/2017,6/30/2018,272,29250.00,2193.75,CliftonLarsonAllen LLP,102,EXEMPT,For Profit
MPXX18000122,MPXX18000122,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Consulting Svrc Fraud/Inv,7/31/2017,6/30/2018,272,10000.00,0.00,James J. McNichol,102,EXEMPT,For Profit
MPXX18000156,MPXX18000156,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Independant Audit Review,8/10/2017,6/30/2018,272,32000.00,4250.00,James J. McNichol,102,EXEMPT,For Profit
1720457,1720457,CITY CONTROLLERS OFFICE,LHV Financial Advisors,General Consultant Services,Financial Advisor,10/30/2016,10/29/2017,28,50000.00,42000.00,LHV Financial Advisors,01,ADVERTISED,For Profit
1720569,1720569,CITY CONTROLLERS OFFICE,O'Donnell Associates,General Consultant Services,Consultant Services,10/30/2016,10/29/2017,28,40000.00,33150.00,O'Donnell Associates,01,ADVERTISED,For Profit
MPXX18000167,MPXX18000167,CITY COUNCIL,"Deaf Hearing Communication Centre, Inc",Miscellaneous Order,interpretation services,7/1/2017,6/30/2018,272,32000.00,0.00,"Deaf Hearing Communication Centre, Inc",102,EXEMPT,Non Profit
MPXX18000192,MPXX18000192,CITY COUNCIL,"ESRI, Inc.",Miscellaneous Order,GIS services,8/31/2017,6/30/2018,272,10000.00,0.00,"ESRI, Inc.",102,EXEMPT,For Profit
MPXX18000089,MPXX18000089,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,consulting services,8/1/2017,6/30/2018,272,32000.00,2500.00,Eric Auerbach,102,EXEMPT,For Profit
1320781,132078104,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,legislative software,6/30/2017,12/31/2017,91,10000.00,0.00,"Granicus, Inc.",01,ADVERTISED,For Profit
1320689,132068905,CITY COUNCIL,Kimmel Group Inc.,General Consultant Services,desktop support,4/1/2017,9/4/2017,0,106700.00,22305.00,Kimmel Group Inc.,01,ADVERTISED,For Profit
1820224,1820224,CITY COUNCIL,Kimmel Group Inc.,General Consultant Services,desktop support,9/5/2017,6/30/2018,272,206000.00,0.00,Kimmel Group Inc.,01,ADVERTISED,For Profit
1820093,1820093,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,live radio broadcasts,8/1/2017,7/31/2018,303,70000.00,0.00,"WURD Radio, LLC fka LEVAS Communications, LLC",01,ADVERTISED,For Profit
MPXX18000101,MPXX18000101,CITY TREASURER,AMTEC,Miscellaneous Order,Verification Agent,7/1/2017,6/30/2018,272,1.00,0.00,AMTEC,102,EXEMPT,For Profit
1520338,152033802,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Counsel - Airport,8/1/2016,7/31/2017,0,20000.00,0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1720649,1720649,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel Water/PGW,1/1/2017,12/31/2017,91,0.00,0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1620362,162036201,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Water Financial Advisor,1/1/2017,12/31/2017,91,0.00,0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1720201,1720201,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Municipal Advisor GO-OTB,8/1/2016,7/31/2017,0,0.00,0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
